City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,8.25,57,75,11.83,CL,1721675996
1,fale old settlement,-9.3852,-171.2468,28.1,78,18,10.58,TK,1721675998
2,port-aux-francais,-49.35,70.2167,3.39,69,7,8.91,TF,1721675999
3,grytviken,-54.2811,-36.5092,-1.56,97,100,1.79,GS,1721676000
4,ribeira grande,38.5167,-28.7,24.87,83,75,2.06,PT,1721676001
5,drayton valley,53.2168,-114.9854,27.11,57,100,6.48,CA,1721676003
6,hawaiian paradise park,19.5933,-154.9731,27.24,74,40,3.09,US,1721676004
7,ukwa,21.9667,80.4667,23.66,99,99,2.8,IN,1721676005
8,afaahiti,-17.75,-149.2833,24.93,70,88,9.19,PF,1721676006
9,puerto ayora,-0.7393,-90.3518,24.98,91,93,3.13,EC,1721676007
10,aasiaat,68.7098,-52.8699,3.09,92,77,3.12,GL,1721676008
11,albany,42.6001,-73.9662,29.96,61,99,1.34,US,1721676009
12,bilibino,68.0546,166.4372,16.47,83,22,1.09,RU,1721675986
13,southeast arcadia,27.1863,-81.8521,33.92,68,100,0.45,US,1721676012
14,lagoa,39.05,-27.9833,22.99,60,0,1.02,PT,1721676013
15,mabaruma,8.2,-59.7833,28.27,91,33,1.48,GY,1721676015
16,at taj,24.2049,23.2857,32.55,16,75,5.39,LY,1721676016
17,chonchi,-42.6128,-73.8092,10.07,74,100,1.92,CL,1721675736
18,utrik,11.2278,169.8474,28.03,78,13,7.84,MH,1721676020
19,adamstown,-25.066,-130.1015,18.69,53,100,3.87,PN,1721676021
20,peruibe,-24.32,-46.9983,20.75,74,0,2.06,BR,1721676022
21,yamada,39.4667,141.95,21.34,89,26,2.53,JP,1721675874
22,blackmans bay,-43.0167,147.3167,13.18,74,100,0.89,AU,1721676024
23,la sarre,48.8002,-79.1996,17.24,67,100,3.34,CA,1721676026
24,ouani,-12.1322,44.4258,24.8,73,34,4.85,KM,1721676027
25,general jose de san martin,-26.5374,-59.3416,29.34,34,1,2.09,AR,1721675812
26,beyneu,45.3167,55.2,30.57,35,11,2.23,KZ,1721676029
27,marsh harbour,26.5412,-77.0636,29.67,65,84,5.29,BS,1721676030
28,severo-yeniseyskiy,60.3725,93.0408,16.2,91,100,1.04,RU,1721676031
29,port alfred,-33.5906,26.891,13.62,68,0,1.3,ZA,1721676032
30,ust-nera,64.5667,143.2,16.73,83,62,1.84,RU,1721676034
31,sofifi,0.7349,127.576,26.34,84,97,0.99,ID,1721676035
32,san antonio de pale,-1.4014,5.6325,22.86,84,100,5.19,GQ,1721676036
33,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,100,2.0,RU,1721676037
34,tiksi,71.6872,128.8694,5.91,92,95,2.53,RU,1721676038
35,iqaluit,63.7506,-68.5145,16.85,55,75,3.6,CA,1721676039
36,suoyarvi,62.0833,32.35,15.82,71,15,1.95,RU,1721676041
37,waitangi,-43.9535,-176.5597,9.34,99,100,4.02,NZ,1721676042
38,tokar,18.4254,37.729,36.29,37,23,11.09,SD,1721676043
39,longyearbyen,78.2186,15.6401,10.91,87,75,2.57,SJ,1721676044
40,jamestown,42.097,-79.2353,26.77,57,0,1.54,US,1721676045
41,zuni pueblo,35.0725,-108.8506,27.35,27,4,1.14,US,1721676046
42,codrington,-38.2667,141.9667,9.68,79,100,6.57,AU,1721676048
43,gobabis,-22.45,18.9667,16.1,14,0,3.88,NA,1721676049
44,hithadhoo,-0.6,73.0833,28.84,78,91,5.91,MV,1721676050
45,thompson,55.7435,-97.8558,19.09,55,75,3.6,CA,1721676051
46,harstad,68.799,16.5293,23.66,70,93,1.11,NO,1721676052
47,klaksvik,62.2266,-6.589,11.51,85,41,6.9,FO,1721676053
48,cockburn town,21.4612,-71.1419,27.96,82,0,8.84,TC,1721676054
49,ushuaia,-54.8,-68.3,2.81,87,100,4.63,AR,1721675788
50,lycksele,64.5954,18.6735,21.93,68,99,3.6,SE,1721675830
51,el calafate,-50.3408,-72.2768,4.47,94,59,6.71,AR,1721676058
52,antsiranana,-12.2787,49.2917,22.81,79,100,5.87,MG,1721676059
53,dudinka,69.4058,86.1778,4.1,77,6,6.09,RU,1721676060
54,luancheng,37.8792,114.6517,29.09,80,82,1.69,CN,1721676061
55,mar del plata,-38.0023,-57.5575,19.01,37,0,7.72,AR,1721675936
56,princeville,45.7668,-61.2985,23.98,60,0,5.66,CA,1721676064
57,manzini,-26.25,31.5,16.71,65,0,1.74,SZ,1721676065
58,kovdor,67.5662,30.4758,16.86,53,100,2.2,RU,1721676066
59,pyapon,16.2833,95.6833,25.34,90,100,2.21,MM,1721676067
60,ilulissat,69.2167,-51.1,5.88,73,19,1.96,GL,1721676068
61,isafjordur,66.0755,-23.124,10.02,66,100,6.17,IS,1721676069
62,st. john's,47.5649,-52.7093,23.66,51,40,10.8,CA,1721675772
63,la passe,45.5549,-0.8967,21.13,79,8,2.87,FR,1721676072
64,college,64.8569,-147.8028,23.28,60,0,2.06,US,1721676073
65,stanley,54.868,-1.6985,17.77,82,75,2.57,GB,1721675981
66,whitehorse,60.7161,-135.0538,16.43,82,75,5.66,CA,1721676075
67,guayaramerin,-10.8368,-65.3614,35.03,28,20,3.09,BO,1721676076
68,bredasdorp,-34.5322,20.0403,7.84,85,0,1.49,ZA,1721676078
69,saldanha,-33.0117,17.9442,8.03,68,27,2.77,ZA,1721676079
70,emirdag,39.0197,31.15,26.24,34,0,2.73,TR,1721676080
71,saipan,15.1355,145.701,27.39,89,20,3.09,MP,1721676082
72,avarua,-21.2078,-159.775,24.03,64,20,5.66,CK,1721676083
73,georgetown,5.4112,100.3354,28.97,75,20,2.06,MY,1721676084
74,selfoss,63.9331,-20.9971,10.58,77,82,7.93,IS,1721676085
75,xilin hot,43.9667,116.0333,21.85,46,15,3.34,CN,1721676086
76,knyaze-volkonskoye,48.4642,135.4567,18.19,93,98,3.68,RU,1721676087
77,bamboo flat,11.7,92.7167,28.05,89,75,5.66,IN,1721676088
78,fort bragg,35.139,-79.006,31.85,63,40,4.63,US,1721676090
79,vilyuysk,63.7553,121.6247,14.0,83,85,5.1,RU,1721676091
80,baukau,51.5526,7.2042,22.54,66,99,2.72,DE,1721676092
81,ta`u,-14.2336,-169.5144,26.65,70,40,11.23,AS,1721676093
82,evanston,42.0411,-87.6901,29.2,62,75,3.6,US,1721676094
83,mount gambier,-37.8333,140.7667,9.42,76,100,4.13,AU,1721676095
84,bethel,41.3712,-73.414,27.47,87,75,2.57,US,1721675986
85,huayacocotla,20.55,-98.4833,16.75,90,100,2.96,MX,1721676098
86,polyarnyy,69.1989,33.4478,19.61,53,70,2.43,RU,1721676099
87,san luis de la loma,17.2706,-100.8939,29.68,71,100,3.01,MX,1721676100
88,qaqortoq,60.7167,-46.0333,8.25,81,100,1.02,GL,1721676101
89,borogontsy,62.6683,131.1683,14.53,97,11,2.24,RU,1721676102
90,hadibu,12.65,54.0333,26.37,79,99,11.5,YE,1721676104
91,bhopal,23.2667,77.4,25.1,94,100,1.34,IN,1721675603
92,port elizabeth,-33.918,25.5701,8.94,93,0,2.06,ZA,1721676106
93,mount isa,-20.7333,139.5,12.87,35,0,3.6,AU,1721676107
94,anadyr,64.75,177.4833,14.28,71,75,5.0,RU,1721676108
95,pankovka,58.5,31.1999,18.67,72,64,2.7,RU,1721676109
96,seven pagodas,12.6264,80.1722,30.07,55,100,7.15,IN,1721676111
97,constantia,44.1833,28.65,26.5,66,100,4.97,RO,1721676112
98,imgarr,35.9206,14.3664,25.08,73,20,9.26,MT,1721676113
99,papatowai,-46.5619,169.4708,6.89,80,100,3.65,NZ,1721676114
100,leh,34.1667,77.5833,17.14,25,1,2.62,IN,1721676116
101,tralee,52.2704,-9.7026,15.32,84,82,4.22,IE,1721676117
102,okhotsk,59.3833,143.3,14.7,88,100,1.53,RU,1721675834
103,loa janan,-0.583,117.095,23.73,98,100,1.2,ID,1721676119
104,coyhaique,-45.5752,-72.0662,11.34,98,100,3.61,CL,1721676120
105,nantucket,41.2835,-70.0995,28.03,86,96,6.77,US,1721676121
106,tura,25.5198,90.2201,24.76,95,100,3.49,IN,1721676122
107,kargasok,59.0556,80.8572,13.84,61,100,3.21,RU,1721676124
108,ubari,26.5921,12.7805,35.9,13,0,3.75,LY,1721676126
109,hamilton,39.1834,-84.5333,29.03,63,100,2.06,US,1721675693
110,klyuchi,52.2667,79.1667,18.14,78,41,1.61,RU,1721676130
111,kununurra,-15.7667,128.7333,12.99,54,74,1.54,AU,1721676131
112,sao desiderio,-12.3633,-44.9733,31.4,22,0,3.62,BR,1721676132
113,rikaze,29.25,88.8833,12.22,87,100,3.07,CN,1721676133
114,eydhafushi,5.1033,73.0708,28.4,76,88,1.84,MV,1721676134
115,talnakh,69.4865,88.3972,4.96,73,0,4.44,RU,1721675881
116,castillos,-34.1667,-53.8333,18.61,77,81,1.16,UY,1721676136
117,tual,-5.6667,132.75,25.09,88,90,9.76,ID,1721676138
118,kodiak,57.79,-152.4072,12.73,94,0,3.09,US,1721676139
119,kirovsk,48.6375,38.6428,23.15,46,100,2.13,UA,1721676140
120,beira,-19.8436,34.8389,20.05,94,0,2.57,MZ,1721676141
121,west island,-12.1568,96.8225,26.99,83,20,5.66,CC,1721676142
122,kapa'a,22.0752,-159.319,26.93,69,75,6.17,US,1721676143
123,byron bay,-28.65,153.6167,7.06,91,7,2.98,AU,1721676144
124,dolores,-36.3132,-57.6792,17.0,55,0,5.6,AR,1721676146
125,uliastay,47.7417,96.8444,11.08,64,0,0.55,MN,1721676147
126,banda aceh,5.5577,95.3222,27.13,77,66,5.55,ID,1721676148
127,torata,-17.0769,-70.8433,19.83,20,1,4.59,PE,1721676149
128,eyl,7.9803,49.8164,25.41,78,65,12.67,SO,1721676150
129,vorgashor,67.5833,63.95,10.51,76,100,3.15,RU,1721676152
130,djambala,-2.5447,14.7533,26.98,36,12,0.88,CG,1721676153
131,mariental,-24.6333,17.9667,15.66,9,8,4.51,NA,1721676154
132,flying fish cove,-10.4217,105.6791,23.82,94,100,4.63,CX,1721676155
133,mata-utu,-13.2816,-176.1745,27.45,75,100,8.89,WF,1721676156
134,atafu village,-8.5421,-172.5159,28.54,78,0,9.53,TK,1721676157
135,invercargill,-46.4,168.35,5.01,95,94,1.79,NZ,1721676158
136,bratsk,56.1325,101.6142,18.27,98,100,2.39,RU,1721676161
137,altai,46.3722,96.2583,12.71,54,2,2.15,MN,1721676162
138,port saint john's,-31.6229,29.5448,14.85,73,1,1.79,ZA,1721676163
139,kingston,17.997,-76.7936,32.53,70,20,8.23,JM,1721676065
140,codo,-4.4553,-43.8856,35.44,26,95,1.85,BR,1721676165
141,kruisfontein,-34.0033,24.7314,7.71,86,0,1.39,ZA,1721676166
142,olonkinbyen,70.9221,-8.7187,5.09,96,100,8.59,SJ,1721676168
143,la ronge,55.1001,-105.2842,21.14,52,40,3.6,CA,1721676169
144,chu,43.5983,73.7614,26.13,35,2,3.46,KZ,1721676170
145,nadi,-17.8,177.4167,20.0,94,20,1.54,FJ,1721676171
146,grantsville,40.5999,-112.4644,35.49,20,0,4.12,US,1721676092
147,lihue,21.9789,-159.3672,26.52,74,75,6.17,US,1721676173
148,kloulklubed,7.0419,134.2556,26.28,71,100,1.61,PW,1721676174
149,carnarvon,-24.8667,113.6333,20.04,79,1,5.55,AU,1721676175
150,kalabo,-14.97,22.6814,19.64,19,5,1.9,ZM,1721676177
151,pabna,24.0,89.25,26.92,91,100,5.78,BD,1721676178
152,edinburgh of the seven seas,-37.0676,-12.3116,12.77,72,12,9.8,SH,1721676179
153,sal rei,16.1833,-22.9167,27.11,74,75,6.17,CV,1721676180
154,madalena,41.2162,-8.3345,32.64,33,0,1.43,PT,1721676181
155,pandan,14.0453,124.1694,27.18,84,100,9.39,PH,1721676182
156,cadale,2.7603,46.3222,25.0,87,100,7.93,SO,1721676183
157,kailua-kona,19.6406,-155.9956,27.55,76,75,3.09,US,1721676185
158,yellowknife,62.456,-114.3525,25.79,54,100,4.12,CA,1721676186
159,suva,-18.1416,178.4415,22.71,100,40,0.0,FJ,1721676187
160,akdepe,42.0551,59.3788,28.05,32,61,2.47,TM,1721676188
161,lerwick,60.1545,-1.1494,15.0,76,95,1.37,GB,1721676189
162,hotan,37.0997,79.9269,27.56,38,88,3.94,CN,1721676190
163,badger,64.8,-147.5333,23.23,56,0,2.06,US,1721676191
164,piti village,13.4626,144.6933,28.03,92,20,3.09,GU,1721676193
165,coquimbo,-29.9533,-71.3436,14.85,72,0,5.66,CL,1721676139
166,margate,51.3813,1.3862,18.82,77,0,0.89,GB,1721676195
167,ambon,-3.6954,128.1814,26.04,95,100,4.04,ID,1721676196
168,turpan,42.9333,89.1667,31.25,31,100,2.5,CN,1721676197
169,karratha,-20.7377,116.8463,18.42,52,0,1.25,AU,1721676198
170,turochak,52.2576,87.1224,14.93,97,81,1.65,RU,1721676199
171,kuraymah,18.55,31.85,38.42,25,19,5.21,SD,1721676200
172,krivosheino,57.3431,83.9261,16.23,93,80,0.91,RU,1721676202
173,brazzaville,-4.2658,15.2832,29.17,61,50,3.09,CG,1721676204
174,palmer,42.1584,-72.3287,29.18,58,75,5.66,US,1721676182
175,chabahar,25.2919,60.643,28.84,85,100,3.54,IR,1721676206
176,lishu,43.3047,124.3278,21.13,99,58,2.64,CN,1721676207
177,margaret river,-33.95,115.0667,13.12,82,100,5.9,AU,1721675983
178,shiguai,40.7058,110.2856,24.68,28,0,2.93,CN,1721676210
179,usinsk,65.9939,57.5281,12.19,63,100,2.58,RU,1721676211
180,mawu,34.4307,104.9176,16.34,99,100,0.33,CN,1721676212
181,birao,10.2849,22.7882,23.27,93,96,2.12,CF,1721676213
182,lebu,-37.6167,-73.65,12.89,61,5,2.3,CL,1721676214
183,toliara,-23.35,43.6667,20.1,78,0,4.38,MG,1721676215
184,fendou,46.65,124.8667,22.35,86,100,1.98,CN,1721676216
185,san juan de miraflores,-12.1629,-76.9635,17.29,75,58,3.91,PE,1721676218
186,namibe,-15.1961,12.1522,16.04,88,48,3.8,AO,1721676219
187,prieska,-29.6641,22.7474,10.93,20,85,1.4,ZA,1721676220
188,dwarka,22.2394,68.9678,28.21,87,100,7.96,IN,1721676221
189,cidreira,-30.1811,-50.2056,19.2,78,0,2.24,BR,1721676222
190,arraial do cabo,-22.9661,-42.0278,23.98,69,0,3.6,BR,1721676223
191,tarauaca,-8.1614,-70.7656,35.9,26,27,1.83,BR,1721676224
192,saint-philippe,-21.3585,55.7679,21.77,78,30,1.93,RE,1721676225
193,bac lieu,9.285,105.7244,26.49,91,100,3.79,VN,1721676227
194,vila franca do campo,37.7167,-25.4333,25.23,65,37,1.03,PT,1721676228
195,hermanus,-34.4187,19.2345,6.56,78,0,0.79,ZA,1721676229
196,miles city,46.4083,-105.8406,33.54,25,20,1.32,US,1721676230
197,mao,39.8885,4.2658,25.31,69,0,3.6,ES,1721676232
198,new norfolk,-42.7826,147.0587,13.84,70,100,4.24,AU,1721676233
199,beardstown,40.0176,-90.4243,27.6,64,50,0.91,US,1721676235
200,ola,59.5833,151.2833,15.12,85,26,1.18,RU,1721676236
201,wailua homesteads,22.0669,-159.378,27.24,71,75,6.17,US,1721676237
202,sinabang,2.4803,96.3801,26.8,86,100,2.3,ID,1721676238
203,zhezqazghan,47.7833,67.7667,28.75,30,86,2.68,KZ,1721676239
204,sitka,57.0531,-135.33,15.94,77,75,2.57,US,1721676240
205,ad dabbah,18.05,30.95,33.71,44,85,9.11,SD,1721676241
206,iskateley,67.6803,53.1512,9.88,87,100,3.65,RU,1721676243
207,saint-joseph,-21.3667,55.6167,21.21,76,18,1.38,RE,1721676244
208,desnogorsk,54.1508,33.2815,15.51,96,90,2.12,RU,1721676062
209,box elder,41.5005,-112.8764,25.31,38,1,1.8,US,1721676246
210,papao,-17.75,-149.55,25.82,63,9,9.97,PF,1721676247
211,kristiansund,63.1115,7.732,13.4,93,75,1.54,NO,1721676248
212,zhongshu,24.5167,103.7667,17.89,96,28,1.3,CN,1721676249
213,dunedin,-45.8742,170.5036,7.11,73,99,2.68,NZ,1721676250
214,turtas,58.9417,69.1325,11.54,75,10,2.46,RU,1721676252
215,nuuk,64.1835,-51.7216,12.34,66,75,1.03,GL,1721676253
216,hun,29.1268,15.9477,35.66,14,0,4.35,LY,1721676255
217,russkaya polyana,49.417,31.9201,22.96,49,59,2.21,UA,1721676256
218,qeshm,26.9581,56.2719,34.94,81,77,3.46,IR,1721676257
219,palikir - national government center,6.9248,158.1611,24.41,94,100,1.54,FM,1721676259
220,cabedelo,-6.9811,-34.8339,27.37,79,60,8.61,BR,1721676260
221,uturoa,-16.7333,-151.4333,24.49,68,97,9.31,PF,1721676261
222,anna regina,7.2644,-58.5077,29.25,68,16,4.35,GY,1721676262
223,la palma,33.8464,-118.0467,35.58,58,40,3.6,US,1721676263
224,saudarkrokur,65.7461,-19.6394,8.38,88,100,4.5,IS,1721676265
225,kodinsk,58.6881,99.1844,19.64,86,100,1.62,RU,1721676266
226,morondava,-20.2833,44.2833,22.81,70,0,4.91,MG,1721676268
227,mek'ele,13.4967,39.4753,17.12,79,100,2.44,ET,1721676269
228,wangqing,43.3218,129.7634,20.16,96,100,1.18,CN,1721676270
229,sovetskiy,61.3614,63.5842,11.92,56,100,1.58,RU,1721676273
230,christchurch,-43.5333,172.6333,6.11,77,87,4.12,NZ,1721676139
231,tumayr,25.7039,45.868,34.5,11,8,4.51,SA,1721676275
232,chernyshevskiy,63.0128,112.4714,14.98,62,99,4.11,RU,1721676276
233,hasaki,35.7333,140.8333,25.22,94,0,0.53,JP,1721676277
234,east london,-33.0153,27.9116,14.43,64,0,2.09,ZA,1721676278
235,udachny,66.4167,112.4,9.17,72,90,1.52,RU,1721676279
236,dausa,26.8833,76.3333,32.82,59,71,1.32,IN,1721676281
237,port lincoln,-34.7333,135.8667,10.8,49,100,5.44,AU,1721676282
238,port mathurin,-19.6833,63.4167,23.0,70,5,7.57,MU,1721676283
239,khandyga,62.6667,135.6,15.27,83,100,1.3,RU,1721676284
240,nuku'alofa,-21.1333,-175.2,18.19,100,20,1.03,TO,1721676196
241,yeosu,34.7546,127.6599,24.39,98,100,1.32,KR,1721676286
242,zaporizhia,47.8167,35.1833,25.48,40,96,4.08,UA,1721676012
243,queenstown,-31.8976,26.8753,7.06,24,0,1.2,ZA,1721676289
244,cheongsong gun,36.4335,129.057,24.3,84,100,4.0,KR,1721676290
245,oban,56.4127,-5.4706,17.43,76,67,2.56,GB,1721676291
246,maun,-19.9833,23.4167,15.98,29,3,1.03,BW,1721676293
247,n'djamena,12.1067,15.0444,27.98,89,20,1.54,TD,1721676294
248,neryungri,56.6709,124.6491,14.93,84,8,0.73,RU,1721676295
249,laibin,23.7,109.2667,25.86,89,80,2.83,CN,1721676297
250,ban tak,17.0432,99.0813,24.51,88,100,1.77,TH,1721676299
251,nizhnesortymskiy,62.4397,71.7603,11.58,56,18,3.67,RU,1721676300
252,stephenville,32.2207,-98.2023,29.87,66,40,3.6,US,1721676301
253,illizi,26.4833,8.4667,39.89,10,0,5.21,DZ,1721676304
254,ulladulla,-35.35,150.4667,9.05,77,5,1.97,AU,1721676305
255,belyy yar,53.6039,91.3903,17.94,94,0,2.0,RU,1721676306
256,nova sintra,14.8667,-24.7167,25.36,80,84,5.08,CV,1721676307
257,mil'kovo,55.6078,37.7956,19.24,67,84,3.12,RU,1721676308
258,chilecito,-29.1619,-67.4974,16.82,25,0,3.16,AR,1721676309
259,anloga,5.7947,0.8973,24.67,82,45,6.11,GH,1721676310
260,kamina,-8.7386,24.9906,22.21,27,74,1.24,CD,1721676312
261,baharly,38.4362,57.4316,33.14,33,0,2.38,TM,1721676313
262,broken hill,-31.95,141.4333,8.55,56,7,4.32,AU,1721676314
263,undurkhaan,47.3194,110.6556,15.61,94,5,1.54,MN,1721676315
264,north side,19.35,-81.2,32.04,66,20,4.63,KY,1721676316
265,bealanana,-14.55,48.7333,14.91,96,21,1.25,MG,1721676317
266,cabo san lucas,22.8909,-109.9124,34.78,46,0,3.09,MX,1721676093
267,akureyri,65.6835,-18.0878,13.96,47,75,3.6,IS,1721676320
268,hancheng,32.5186,112.3522,28.1,77,100,3.66,CN,1721676321
269,cauto cristo,20.5574,-76.4702,33.36,42,11,6.6,CU,1721676322
270,sao felix do xingu,-6.6447,-51.995,35.33,17,2,2.61,BR,1721676323
271,serowe,-22.3833,26.7167,17.16,19,18,2.75,BW,1721676324
272,nikolayevsk-on-amure,53.1406,140.73,12.28,99,100,2.08,RU,1721676325
273,labytnangi,66.6572,66.4183,10.43,68,100,2.5,RU,1721676327
274,sirsilla,18.3833,78.8333,25.09,84,100,8.15,IN,1721676328
275,barcelos,41.5388,-8.6151,33.29,47,0,2.09,PT,1721676329
276,krasnoshchekovo,51.6708,82.7289,16.51,89,72,1.59,RU,1721676330
277,gorontalo,0.5412,123.0595,24.24,92,100,1.08,ID,1721676331
278,sodra sandby,56.5667,16.6167,18.27,95,100,1.77,SE,1721676314
279,uromi,6.7,6.3333,22.29,91,80,2.17,NG,1721676335
280,rio gallegos,-51.6226,-69.2181,9.03,57,20,12.86,AR,1721676280
281,weihai,37.5017,122.1136,21.79,96,21,2.34,CN,1721676337
282,enewetak,11.3474,162.3373,28.06,80,33,6.63,MH,1721676338
283,isangel,-19.55,169.2667,21.54,83,100,6.03,VU,1721676168
284,mananjary,-21.2167,48.3333,19.98,90,44,2.01,MG,1721676340
285,howrah,22.5892,88.3103,28.0,94,75,2.06,IN,1721676341
286,zimovniki,47.1483,42.4633,25.8,45,100,3.04,RU,1721676343
287,antofagasta,-23.65,-70.4,15.6,80,15,2.38,CL,1721676344
288,zaozersk,69.4005,32.4476,20.66,45,96,3.54,RU,1721676345
289,tazovsky,67.4667,78.7,5.94,69,100,4.15,RU,1721676346
290,auna,10.1881,4.7232,25.38,84,100,2.45,NG,1721676347
